"codigo";"nome";"descricao";"mnemonico";"tipo";"itemexame";"sr_recno"
69.0;Volume;DETERMINAÇÃO QUANTITATIVA PROTEINÚRIA DE 24 HORAS;PTU24VOL;BIOQUÍMICA;1;72
70.0;PROGESTERONA;DETERMINAÇÃO QUANTITATIVA PROGESTERONA;PROG;DOSAGEM HORMONAL;0;73
71.0;PROTEÍNAS TOTAIS E FRAÇÕES;DETERMINAÇÃO QUANTITATIVA DE PROTEÍNAS TOTAIS E FRAÇÕES;PTTOTFRA;BIOQUÍMICA;0;74
71.0;Proteínas Totais;DETERMINAÇÃO QUANTITATIVA DE PROTEÍNAS TOTAIS E FRAÇÕES;PROT;-;1;75
71.0;Albumina;DETERMINAÇÃO QUANTITATIVA DE PROTEÍNAS TOTAIS E FRAÇÕES;ALB;-;1;76
71.0;Globulina;DETERMINAÇÃO QUANTITATIVA DE PROTEÍNAS TOTAIS E FRAÇÕES;GLO;-;1;77
71.0;Relação A/G;DETERMINAÇÃO QUANTITATIVA DE PROTEÍNAS TOTAIS E FRAÇÕES;RELAG;-;1;78
72.0;TEMPO DE PROTROMBINA;TEMPO DE ATIVIDADE DE PROTROMBINA - TAP;TAP;BIOQUÍMICA;0;79
73.0;CORTISOL;DETERMINAÇÃO QUANTITATIVA DE CORTISOL;CORT;DOSAGEM HORMONAL;0;80
74.0;TGP (ALT);DETERMINAÇÃO QUANTITATIVA DE TGP (ALT);TGP;BIOQUÍMICA;0;81
75.0;ANTICORPOS ANTI - TREPONEMA PALLIDUM;PESQUISA DE ANTICORPOS ANTI - TREPONEMA PALLIDUM;TREP;IMUNOLÓGICO;0;82
76.0;CÁLCIO SÉRICO;DETERMINAÇÃO QUANTITATIVA DE CÁLCIO SÉRICO;CALSER;BIOQUÍMICA;0;83
77.0;CÁLCIO IONIZADO;DETERMINAÇÃO QUANTITATIVA DE CÁLCIO IÔNICO;CALION;BIOQUÍMICA;0;84
78.0;D-DÍMERO;DETERMINAÇÃO QUANTITATIVA DE D-DÍMERO;DDI;BIOQUÍMICA;0;85
79.0;FÓSFORO;DETERMINAÇÃO QUANTITATIVA DE FÓSFORO;FOSF;BIOQUÍMICA;0;86
81.0;GLICEMIA PÓS - PRANDIAL;DETERMINAÇÃO QUANTITATIVA DE GLICEMIA PÓS - PRANDIAL;GLIPP;BIOQUÍMICA;0;87
82.0;MICROALBUMINA (EM URINA DE 24HORAS);DETERMINAÇÃO QUANTITATIVA DE MICROALBUMINA;MICR;BIOQUÍMICA;0;88
82.0;RESULTADO;DETERMINAÇÃO QUANTITATIVA DE MICROALBUMINA;MICRRES;BIOQUÍMICA;1;89
82.0;VOLUME;DETERMINAÇÃO QUANTITATIVA DE MICROALBUMINA;MICRVOL;BIOQUÍMICA;1;90
