code,complexity,sex_restriction,minimum_age_months,maximum_age_months,description
0604500149,I,I,0,1571,"LEVETIRACETAM 1000 MG (POR COMPRIMIDO)"
0604510012,I,I,0,1571,"RISPERIDONA 1 MG (POR COMPRIMIDO)"
0604510020,I,I,0,1571,"RISPERIDONA 2 MG (POR COMPRIMIDO)"
0604510039,I,I,0,1571,"RISPERIDONA 3 MG (POR COMPRIMIDO)"
0604510047,I,I,60,1571,"RISPERIDONA 1,0 MG/ML SOLUÇÃO ORAL (POR FRASCO DE 30 ML)"
0604520018,I,I,0,1571,"GLATIRAMER 20 MG INJETAVEL (POR SERINGA PREENCHIDA )"
0604520026,I,I,0,1571,"GLATIRÂMER 40 MG INJETÁVEL (POR SERINGA PREENCHIDA)"
0604530013,I,I,0,1571,"AZATIOPRINA 50 MG (POR COMPRIMIDO)"
0604530021,I,I,0,1571,"METOTREXATO 2,5 MG (POR COMPRIMIDO)"
0604530030,I,I,0,1571,"METOTREXATO 25 MG/ML INJETAVEL (POR AMPOLA DE 2 ML)"
0604540019,I,I,0,1571,"RILUZOL 50 MG (POR COMPRIMIDO)"
0604540027,I,I,216,1571,"FUMARATO DE DIMETILA 120 MG (POR CÁPSULA)"
0604540035,I,I,216,1571,"FUMARATO DE DIMETILA 240 MG (POR CÁPSULA)"
0604540043,I,I,216,1571,"TERIFLUNOMIDA 14 MG (POR COMPRIMIDO)"
0604540060,I,I,216,1571,"TAFAMIDIS 20 MG CÁPSULA"
0604540078,I,I,480,1571,"MEMANTINA 10 MG (POR COMPRIMIDO)"
0604540086,I,I,720,1571,"TAFAMIDIS 61 MG (POR CÁPSULA)"
0604550014,I,I,0,1571,"TOXINA BOTULINICA TIPO A 100 U INJETAVEL (POR FRASCO-AMPOLA)"
0604550022,I,I,0,1571,"TOXINA BOTULINICA TIPO A 500 U INJETAVEL (POR FRASCO-AMPOLA)"
0604560010,I,I,0,1571,"PENICILAMINA 250 MG (POR CAPSULA)"
0604570015,I,I,0,1571,"CALCITONINA 50 UI INJETAVEL (POR AMPOLA)"
0604570023,I,I,0,1571,"CALCITONINA 100 UI INJETAVEL (POR AMPOLA)"
0604570031,I,I,0,1571,"CALCITONINA 200 UI/DOSE SPRAY NASAL (POR FRASCO)"
0604580010,I,I,0,1571,"PANCREATINA 10.000 UI (POR CAPSULA)"
0604580029,I,I,0,1571,"PANCREATINA 25000 UI (POR CAPSULA)"
0604590016,I,I,0,1571,"ISOTRETINOINA 10 MG (POR CAPSULA)"
0604590024,I,I,0,1571,"ISOTRETINOINA 20 MG (POR CAPSULA)"
0604600011,I,I,0,1571,"ACITRETINA 10 MG (POR CAPSULA)"
0604600020,I,I,0,1571,"ACITRETINA 25 MG (POR CAPSULA)"
0604610017,I,I,0,1571,"SOMATROPINA 4 UI INJETÁVEL (POR FRASCO-AMPOLA)"
0604610025,I,I,0,1571,"SOMATROPINA 12 UI INJETAVEL (POR FRASCO-AMPOLA)"
0604610033,I,I,0,1571,"SOMATROPINA 16UI INJETÀVEL (POR FRASCO AMPOLA)"
0604620012,I,I,0,1571,"ALFACALCIDOL 0,25 MCG (POR CAPSULA)"
0604620020,I,I,0,1571,"ALFACALCIDOL 1,0 MCG (POR CAPSULA)"
0604620039,I,I,0,1571,"CALCITRIOL 0,25 MCG (POR CAPSULA)"
0604620047,I,I,0,1571,"CALCITRIOL 1,0 MCG INJETAVEL (POR AMPOLA)"
0604630018,I,I,216,1571,"MIGLUSTATE 100 MG (POR CAPSULA)"
0604630026,I,I,0,1571,"BIOTINA 2,5 MG CÁPSULA"
0604630034,I,I,0,1571,"ÁCIDO URSODESOXICÓLICO 50 MG (POR COMPRIMIDO)"
0604630042,I,I,0,1571,"ÁCIDO URSODESOXICÓLICO 150 MG (POR COMPRIMIDO)"
0604630050,I,I,0,1571,"ÁCIDO URSODESOXICÓLICO 300 MG (POR COMPRIMIDO)"
0604630069,I,I,120,851,"SAPROPTERINA 100 MG (POR COMPRIMIDO)"
0604630077,I,I,0,1571,"TRIENTINA 250 MG (POR CÁPSULA)"
0604650019,I,I,0,1571,"BIMATOPROSTA 0,3 MG/ML SOLUÇÃO OFTÁLMICA (POR FRASCO DE 3 ML)"
0604650027,I,I,0,1571,"LATANOPROSTA 0,05 MG/ML SOLUÇÃO OFTÁLMICA (POR FRASCO DE 2,5 ML)"
0604650035,I,I,0,1571,"TRAVOPROSTA 0,04 MG/ML SOLUÇÃO OFTÁLMICA (POR FRASCO DE 2,5 ML)"
0604660014,I,I,0,1571,"BRINZOLAMIDA 10 MG/ML SUSPENSÃO OFTÁLMICA (POR FRASCO DE 5 ML)"
0604660022,I,I,0,1571,"DORZOLAMIDA 20 MG/ML SOLUÇÃO OFTÁLMICA (POR FRASCO DE 5 ML)"
0604660030,I,I,0,1571,"ACETAZOLAMIDA 250 MG (POR COMPRIMIDO)"
0604670010,I,I,0,1571,"BRIMONIDINA 2,0 MG/ML SOLUÇÃO OFTÁLMICA (POR FRASCO DE 5 ML)"
0604680023,I,I,216,1571,"RITUXIMABE 500 MG INJETÁVEL (POR FRASCO-AMPOLA DE 50 ML) (ORIGINADOR)"
0604680031,I,I,216,1571,"RITUXIMABE 500 MG INJETÁVEL (POR FRASCO- AMPOLA DE 5O ML ) (BIOSSIMILAR A)"
0604680040,I,I,216,1571,"RITUXIMABE 500 MG INJETÁVEL (POR FRASCO AMPOLA DE 50 ML(BIOSSIMILAR B)"
0604680058,I,I,216,1571,"RITUXIMABE 100 MG INJETÁVEL (POR FRASCO-AMPOLA DE 10 ML (ORIGINADOR)"
0604680066,I,I,216,1571,"RITUXIMABE 100 MG INJETÁVEL (POR FRASCO-AMPOLA DE 10 ML (BIOSIMILAR A)"
0604680074,I,I,216,1571,"RITUXIMABE 100 MG INJETÁVEL (POR FRASCO-AMPOLA DE 10 ML) (BIOSSIMILAR B)"
0604690010,I,I,0,1571,"TOCILIZUMABE 20 MG/ML INJETAVEL (POR FRASCO-AMPOLA DE 4 ML)"
